kanji	kanken	jlpt	wanikani	grade	frequency	kunyomi	onyomi	meanings
誤	5	N3	WK34	G6	FQ1150	あやま.る,-あやま.る	ご	Mistake,Err,Do Wrong,Mislead
聖	5	N1	WK34	G6	FQ1165	ひじり	せい,しょう	Holy,Saint,Sage,Master,Priest
洗	5	N3	WK18	G6	FQ1168	あら.う	せん	Wash,Inquire Into,Probe
尊	5	N2	WK33	G6	FQ1181	たっと.い,とうと.い,たっと.ぶ,とうと.ぶ	そん	Revered,Valuable,Precious,Noble,Exalted
窓	5	N3	WK33	G6	FQ1186	まど,てんまど,けむだし	そう,す	Window,Pane
幼	5	N2	WK28	G6	FQ1227	おさな.い	よう	Infancy,Childhood
潮	5	N1	WK43	G6	FQ1231	しお,うしお	ちょう	Tide,Salt Water,Opportunity
鋼	5	N1	WK39	G6	FQ1246	はがね	こう	Steel
縦	5	N1	WK34	G6	FQ1258	たて	じゅう	Vertical,Length,Height,Self-indulgent,Wayward
捨	5	N2	WK32	G6	FQ1266	す.てる	しゃ	Discard,Throw Away,Abandon,Resign,Reject,Sacrifice
腹	5	N3	WK27	G6	FQ1286	はら	ふく	Abdomen,Belly,Stomach
乳	5	N2	WK23	G6	FQ1289	ちち,ち	にゅう	Milk,Breasts
紅	5	N2	WK34	G6	FQ1299	べに,くれない,あか.い	こう,く	Crimson,Deep Red
冊	5	N2	WK19	G6	FQ1313	ふみ	さつ,さく	Tome,Counter For Books,Volume
仁	5	N1	WK41	G6	FQ1332		じん,に,にん	Humanity,Virtue,Benevolence,Charity,Man,Kernel
卵	5	N2	WK32	G6	FQ1342	たまご	らん	Egg,Ovum,Spawn,Roe
干	5	N2	WK17	G6	FQ1349	ほ.す,ほ.し-,-ぼ.し,ひ.る	かん	Dry,Parch,Ebb,Recede,Interfere,Intercede
頂	5	N3	WK51	G6	FQ1350	いただ.く,いただき	ちょう	Place On The Head,Receive,Top Of Head,Top,Summit,Peak
穴	5	N1	WK20	G6	FQ1366	あな	けつ	Hole,Aperture,Slit,Cave,Den
暖	5	N1	WK32	G6	FQ1371	あたた.か,あたた.かい,あたた.まる,あたた.める	だん,のん	Warmth
朗	5	N1	WK43	G6	FQ1374	ほが.らか,あき.らか	ろう	Melodious,Clear,Bright,Serene,Cheerful
肺	5	N1	WK33	G6	FQ1387		はい	Lungs
熟	5	N1	WK33	G6	FQ1415	う.れる	じゅく	Mellow,Ripen,Mature,Acquire Skill
晩	5	N3	WK15	G6	FQ1424		ばん	Nightfall,Night
陛	5	N1	WK49	G6	FQ1429		へい	Highness,Steps (of Throne)
拝	5	N2	WK34	G6	FQ1443	おが.む,おろが.む	はい	Worship,Adore,Pray To
棒	5	N2	WK31	G6	FQ1455		ぼう	Rod,Stick,Cane,Pole,Club,Line
糖	5	N1	WK33	G6	FQ1471		とう	Sugar
覧	5	N1	WK30	G6	FQ1510	み.る	らん	Perusal,See
奮	5	N1	WK50	G6	FQ1521	ふる.う	ふん	Stirred Up,Be Invigorated,Flourish
蒸	5	N2	WK33	G6	FQ1552	む.す,む.れる,む.らす	じょう,せい	Steam,Heat,Sultry,Foment,Get Musty
后	5	N1	WK50	G6	FQ1583	きさき	こう,ご	Empress,Queen,After,Behind,Back,Later
班	5	N1	WK48	G6	FQ1592		はん	Squad,Corps,Unit,Group
詞	5	N2	WK19	G6	FQ1636	ことば	し	Part Of Speech,Words,Poetry
寸	5	N1	WK44	G6	FQ1669		すん	Measurement,Tenth Of A Shaku,A Little,Small
机	5	N2	WK32	G6	FQ1671	つくえ	き	Desk,Table
磁	5	N1	WK34	G6	FQ1686		じ	Magnet,Porcelain
灰	5	N2	WK33	G6	FQ1717	はい	かい	Ashes,Puckery Juice,Cremate
垂	5	N1	WK33	G6	FQ1720	た.れる,た.らす,た.れ,-た.れ,なんなんと.す	すい	Droop,Suspend,Hang,Slouch
穀	5	N1	WK56	G6	FQ1744		こく	Cereals,Grain
絹	5	N1	WK58	G6	FQ1916	きぬ	けん	Silk
尺	5	N1	WK47	G6	FQ1940		しゃく	Shaku,Japanese Foot,Measure,Scale,Rule
蚕	5	N1		G6	FQ2272	かいこ,こ	さん,てん	Silkworm
歳	4	N3	WK46	G8	FQ269	とし,とせ,よわい	さい,せい	Year-end,Age,Occasion,Opportunity
沢	4	N1	WK23	G8	FQ296	さわ,うるお.い,うるお.す,つや	たく	Swamp,Marsh,Brilliance,Grace
与	4	N3	WK25	G8	FQ308	あた.える,あずか.る,くみ.する,ともに	よ	Bestow,Participate In,Give,Award,Impart,Provide,Cause,Gift,Godsend
援	4	N1	WK22	G8	FQ312		えん	Abet,Help,Save
井	4	N1	WK45	G8	FQ339	い	せい,しょう	Well,Well Crib,Town,Community
違	4	N3	WK24	G8	FQ344	ちが.う,ちが.い,ちが.える,-ちが.える,たが.う,たが.える	い	Difference,Differ
